@relation du-lieu-ktdl-80

@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute n5 numeric
@attribute n6 numeric
@attribute n7 numeric
@attribute n8 numeric
@attribute n9 numeric
@attribute n10 numeric
@attribute n11 numeric
@attribute n12 numeric
@attribute n13 numeric
@attribute n14 numeric
@attribute n15 numeric
@attribute n16 numeric
@attribute n17 numeric
@attribute n18 numeric
@attribute n19 numeric
@attribute n20 numeric
@attribute n21 numeric
@attribute n22 numeric
@attribute n23 numeric
@attribute n24 numeric
@attribute n25 numeric
@attribute n26 numeric
@attribute n27 numeric
@attribute n28 numeric
@attribute n29 numeric
@attribute n30 numeric
@attribute n31 numeric
@attribute n32 numeric
@attribute n33 numeric
@attribute n34 numeric
@attribute n35 numeric
@attribute n36 numeric
@attribute n37 numeric
@attribute n38 numeric
@attribute n39 numeric
@attribute n40 numeric
@attribute n41 numeric
@attribute n42 numeric
@attribute n43 numeric
@attribute n44 numeric
@attribute loaihinh {dinosaur,elephant,flower,horse}

@data
0.890859,0.109141,0.509703,0.500951,0.408782,0.474249,0.036386,0.04415,0.032585,0.042957,0.073331,0.433727,0.46129,0.033306,0.04188,0.147603,0.419932,0.478728,0.033026,0.043159,0,0.135906,0,0.297037,0.10062,0.466437,0,0.957419,0,0,0.021033,0.021547,0,0,0,0.478037,0.001215,0.520748,0,0.853177,0,0.052048,0.018876,0.075899,dinosaur
0.879242,0.120758,0.490643,0.496588,0.557255,0.508581,0.035699,0.043958,0.038045,0.044485,0.071472,0.526549,0.529028,0.036697,0.04485,0.166484,0.558978,0.520523,0.038104,0.045004,0,0.141513,0,0.275388,0.186851,0.396248,0,0.795553,0,0,0.191501,0.012946,0,0,0,0.456989,0.023675,0.519336,0,0.699497,0,0.055177,0.171238,0.074088,dinosaur
0.891215,0.108785,0.494179,0.492761,0.535623,0.541256,0.035827,0.043788,0.037299,0.045891,0.069299,0.505357,0.542158,0.035951,0.045403,0.172272,0.525708,0.55758,0.036952,0.046578,0.022734,0.106171,0,0.057632,0.368881,0.444582,0,0.634482,0,0,0.35254,0.012978,0.043015,0,0,0.108566,0.128857,0.719562,0.004679,0.56546,0,0.01181,0.328206,0.089844,dinosaur
0.903483,0.096517,0.507926,0.490723,0.412214,0.566492,0.036322,0.043697,0.032721,0.046949,0.070356,0.450032,0.571251,0.033926,0.046605,0.126862,0.414587,0.576608,0.032815,0.047366,0,0.119317,0,0.205036,0.066795,0.608853,0,0.949266,0,0,0.020334,0.0304,0,0,0,0.330874,0,0.669126,0,0.860034,0,0.031102,0.018423,0.090441,dinosaur
0.838338,0.161662,0.487787,0.490613,0.555213,0.536534,0.035595,0.043693,0.037975,0.045691,0.074956,0.502217,0.555942,0.035839,0.045976,0.178782,0.55399,0.543216,0.037933,0.045974,0,0.100028,0,0.269303,0.021053,0.609616,0,0.966777,0,0,0.006201,0.027023,0,0,0,0.357093,0,0.642907,0,0.812312,0,0.057054,0.00521,0.125424,dinosaur
0.841115,0.158885,0.506857,0.510714,0.455445,0.430927,0.036284,0.044579,0.034394,0.040948,0.074976,0.467061,0.441262,0.034562,0.040961,0.188446,0.454394,0.448648,0.034355,0.041781,0,0.089717,0,0.448421,0.046316,0.415547,0,0.890186,0,7260000000,0.066251,0.04349,0,0,0,0.652666,0,0.347334,0,0.749847,0,0.102954,0.055807,0.091392,dinosaur
0.938517,0.061483,0.499629,0.501993,0.484322,0.437653,0.036024,0.044196,0.035468,0.041277,0.068996,0.492948,0.452141,0.035507,0.041463,0.133046,0.493552,0.45726,0.035804,0.04218,0.05612,0.201239,0,0.025078,0.443306,0.274256,0,0.935888,0,0,0.056883,0.00723,0.136334,0,0,0.120781,0.216909,0.525976,0.008382,0.878347,0,0.007426,0.066722,0.039124,dinosaur
0.837311,0.162689,0.504669,0.510713,0.467904,0.432798,0.036206,0.044578,0.034862,0.041041,0.081151,0.493581,0.520234,0.03553,0.044475,0.194855,0.470119,0.446585,0.034944,0.041685,0,0.122631,0,0.388671,0.060193,0.428504,0,0.951452,0,0,0.021249,0.027299,0,0,0,0.578987,0,0.421013,0,0.797456,0,0.093711,0.01781,0.091023,dinosaur
0.88799,0.11201,0.496275,0.512098,0.517811,0.386569,0.035903,0.044638,0.036674,0.038789,0.075915,0.469002,0.42452,0.034634,0.040176,0.148946,0.536527,0.398334,0.037331,0.039369,0,0.143628,0,0.298388,0.14315,0.414834,0,0.957419,0,0,0.028868,0.013712,0,0,0,0.481094,0.018269,0.500636,0,0.850257,0,0.053848,0.027682,0.068213,dinosaur
0.917257,0.082743,0.500234,0.505904,0.481546,0.410839,0.036046,0.044367,0.035366,0.03999,0.065365,0.503298,0.446699,0.035878,0.041212,0.140299,0.481634,0.446848,0.035369,0.041698,0,0.181917,0,0.397984,0.200696,0.219403,0,0.942531,0,3330000000,0.041499,0.015937,0,0,0,0.785359,0.000996,0.213645,0,0.865441,0,0.064265,0.038187,0.032107,dinosaur
